ANT1,19.60,-0.43,0.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,13.53,1.66,270.00,1u,GRM011R60J152KE01L_2_CAPC0201X13N
C10,-13.30,-10.25,90.00,1u,GRM011R60J152KE01L_2_CAPC0201X13N
C11,14.05,12.35,90.00,10u,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C12,14.00,6.60,270.00,22u,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C13,15.25,6.60,270.00,22u,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C14,2.75,-5.75,270.00,1.0u,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C15,6.85,-3.50,0.00,4.7u,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C16,-12.60,8.05,270.00,4.7u/25V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C17,-21.90,11.75,270.00,10u,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C18,9.30,-1.64,270.00,4.7u,NORDIC_NRF_3_RESC0201_L
C19,9.30,0.35,90.00,4.7u,NORDIC_NRF_3_RESC0201_L
C2,14.48,-0.80,90.00,1u,GRM011R60J152KE01L_2_CAPC0201X13N
C20,3.75,-5.15,270.00,47n,NORDIC_NRF_3_RESC0201_L
C21,0.18,-5.21,270.00,N.C,NORDIC_NRF_3_RESC0201_L
C22,-0.83,-5.22,270.00,100n,NORDIC_NRF_3_RESC0201_L
C23,-3.15,-3.02,180.00,100p,NORDIC_NRF_3_RESC0201_L
C24,-3.15,-2.30,180.00,N.C,NORDIC_NRF_3_RESC0201_L
C25,-3.10,-0.50,180.00,820p,NORDIC_NRF_3_RESC0201_L
C26,-1.33,3.67,90.00,100n,NORDIC_NRF_3_RESC0201_L
C27,-2.30,-5.30,270.00,12p,NORDIC_NRF_3_RESC0201_L
C28,-6.10,-5.30,90.00,12p,NORDIC_NRF_3_RESC0201_L
C29,-3.14,-1.60,180.00,N.C,NORDIC_NRF_3_RESC0201_L
C3,2.05,-8.35,0.00,100n,NORDIC_NRF_3_RESC0201_L
C30,5.90,-2.60,0.00,100n,NORDIC_NRF_3_RESC0201_L
C31,17.83,1.31,180.00,N.C,NORDIC_NRF_3_RESC0201_L
C32,17.85,-2.15,180.00,N.C,NORDIC_NRF_3_RESC0201_L
C33,0.40,3.50,180.00,100n,NORDIC_NRF_3_RESC0201_L
C34,5.05,3.70,90.00,4.7u,NORDIC_NRF_3_RESC0201_L
C35,5.90,2.70,0.00,4.7u,NORDIC_NRF_3_RESC0201_L
C36,5.90,2.00,0.00,4.7u,NORDIC_NRF_3_RESC0201_L
C37,15.05,11.45,270.00,0.1u,GRM011R60J152KE01L_2_CAPC0201X13N
C38,-12.40,3.80,180.00,1u/50V,NORDIC_NRF_3_RESC0201_L
C39,-12.40,3.05,180.00,1u/50V,NORDIC_NRF_3_RESC0201_L
C4,-1.98,9.42,90.00,0.1u,GRM011R60J152KE01L_2_CAPC0201X13N
C40,-12.40,-2.85,180.00,1u/50V,NORDIC_NRF_3_RESC0201_L
C41,-11.30,-3.35,180.00,1u/50V,NORDIC_NRF_3_RESC0201_L
C42,-12.40,-3.85,180.00,1u/50V,NORDIC_NRF_3_RESC0201_L
C43,-11.30,-4.35,180.00,1u/50V,NORDIC_NRF_3_RESC0201_L
C44,-12.40,-4.85,180.00,1u/50V,NORDIC_NRF_3_RESC0201_L
C45,-11.30,-5.35,180.00,1u/50V,NORDIC_NRF_3_RESC0201_L
C46,-12.40,-5.85,180.00,1u/50V,NORDIC_NRF_3_RESC0201_L
